Timestamp,Are you a student or staff? ,"If you are a student, which batch are you from?",Gender,1. What is the type of beverage that you consume daily other than water? ,2. What is your favorite type of beverage? ,3. How often do you drink your favorite beverage?,"4. What is the beverage brand that vKirirom doesn't have and you recommend them to sell? (Ex. Monster, Dutch Milk, . . .)","How much are you willing to spend on your favorite beverage per day? (Input as Cambodia Currency, Riel)"
1/14/2021 15:51:56,Student,Batch 4,Female,Carbonated Drinks,Juice,Once in a few days,Dutch Milk,4000
1/14/2021 15:55:14,Student,Batch 4,Male,Milk,Coffee,Once in a few days,Dutch Milk,3000
1/14/2021 15:59:17,Student,Batch 4,Male,Coffee,Coffee,Once in a few days,"Nescafe canned coffee, Monster Energy, Soy Milk",5000-10000 riel
1/14/2021 16:21:51,Student,Batch 4,Female,Energy Drinks,Energy Drinks,Once in a few days,Ducht Milk,10000
1/14/2021 16:22:01,Student,Batch 8,Male,Carbonated Drinks,Coffee,Everyday,Monster,10000
1/14/2021 16:22:22,Student,Batch 8,Male,Carbonated Drinks,Milk,Once in a month,Milk,3000 riel
1/14/2021 16:22:56,Student,Batch 4,Female,Coffee,Coffee,Everyday,Pepsi,10000
1/14/2021 16:23:26,Student,TM 2,Female,Coffee,Coffee,Everyday,Nescafe can,3000-5000riel
1/14/2021 16:24:51,Student,Batch 8,Female,Coffee,Ice-Latte,Everyday,Ice-Latter ,0-5000 riel 
1/14/2021 16:26:05,Student,Batch 8,Female,Milk,Milk,Once in a few days,"Dutch milk, Foremost",4000 Riel/ day
1/14/2021 16:26:08,Student,Batch 8,Female,Carbonated Drinks,Milk,Once in a few days,"Dutch Milk, foremost",4000 riels/day
1/14/2021 16:26:22,Student,Batch 4,Male,Tea,Tea,Everyday,Da-Hong Pao Tea,"20,000 Riels"
1/14/2021 16:27:31,Student,Batch 8,Male,Energy Drinks,Energy Drinks,Once in a few days,"Dutch Milk, milk.",5000riels
1/14/2021 16:27:32,Student,Batch 8,Male,Sour milk,Sour milk,Once in a few days,Dutch milk,Around 10000 riel
1/14/2021 16:27:41,Student,Batch 4,Male,Coffee,Milk,Once in a month,Foremost,1500
1/14/2021 16:27:42,Student,Batch 4,Male,Energy Drinks,Coffee,Once a week,Amazon,10000
1/14/2021 16:29:41,Student,Batch 4,Female,Juice,Juice,Once a week,"Dutch milk, malee juice",5000
1/14/2021 16:30:35,Student,Batch 6,Female,"Green milk tea, Bubble milk tea",Juice,Once in a few days,Yeo's,2500
1/14/2021 16:30:59,Student,Batch 6,Male,Juice,Juice,Once in a few days,Meiji,2500
1/14/2021 16:31:48,Student,Batch 6,Female,Juice,Juice,Once a week,Yakult,3500R
1/14/2021 16:32:36,Student,Batch 8,Male,"Natural juices (coconut, sugar cane)",Coffee,Once in a few days,Natural juices,3000-4000 riel
1/14/2021 16:33:06,Student,Batch 6,Male,Energy Drinks,Energy Drinks,Everyday,Monster,3000
1/14/2021 16:33:53,Student,Batch 4,Female,Coffee,Juice,Once in a few days,Dutch Milk,4000
1/14/2021 16:34:12,Student,Batch 5,Female,Tea,Tea,Once in a few days,Harrods (I know it won't happen),8000
1/14/2021 16:34:49,Student,Batch 8,Male,Coffee,Coffee,Everyday,langers,4000
1/14/2021 16:34:59,Student,Batch 6,Male,Coffee,Water,Everyday,Milk,4000R
